factor_type,factor_level,effect_judge,ci_judge_low,ci_judge_high,effect_fan,ci_fan_low,ci_fan_high,diff_fan_minus_judge,diff_ci_low,diff_ci_high,direction_match
pro_dancer,Alan Bersten (Rashad Jennings week 9),-0.07091668525531794,-0.17870177792080402,0.03686840741016814,0.2840453246729147,0.14153150125492628,0.4265591480909031,0.3549620099282327,0.17627844586561106,0.5336455739908543,0
pro_dancer,Alec Mazo,0.008669655155584507,-0.0749468152389007,0.09228612555006971,-0.017088762676660017,-0.037712462206208844,0.0035349368528888106,-0.025758417832244522,-0.11188072100347266,0.06036388533898362,0
pro_dancer,Allison Holker,0.05525832209361169,-0.01412664106557162,0.124643285252795,0.00713361992482393,-0.014674854652002856,0.028942094501650716,-0.04812470216878777,-0.12085628180218583,0.024606877464610294,1
pro_dancer,Andrea Hale,-0.3697363234845774,-0.6617941960854998,-0.07767845088365494,-0.3216459475145089,-0.5275572019473788,-0.11573469308163911,0.04809037597006849,-0.3092571378736613,0.4054378898137983,1
pro_dancer,Anna Demidova,0.02923024322267109,-0.092501651384372,0.15096213782971418,0.03350426697323957,-0.007809476944871704,0.07481801089135084,0.004274023750568481,-0.12427744299000015,0.13282549049113712,1
pro_dancer,Anna Trebunskaya,0.014990888627461127,-0.045384657437383784,0.07536643469230604,0.001319677936417581,-0.017327922434278595,0.019967278307113756,-0.013671210691043547,-0.0768609215798694,0.04951850019778231,1
pro_dancer,Artem Chigvintsev,0.12129820548874798,0.07096354359173708,0.1716328673857589,-0.005551685314051187,-0.023607346930408397,0.012503976302306026,-0.12684989080279915,-0.18032497943938577,-0.07337480216621253,0
pro_dancer,Ashly DelGrosso,-0.12330107602769097,-0.21529307693495628,-0.03130907512042566,-0.009734906340607407,-0.037955581880216784,0.018485769199001974,0.11356616968708357,0.01734281099058925,0.2097895283835779,1
pro_dancer,Brandon Armstrong,0.06141600475848414,0.004906134604488563,0.11792587491247972,-0.023325687435717685,-0.046428140330787085,-0.00022323454064828926,-0.08474169219420183,-0.14579157961908035,-0.02369180476932331,0
pro_dancer,Brian Fortuna,-0.01648306229571191,-0.1930164825521307,0.16005035796070685,-0.06327784495971128,-0.09283477812635323,-0.03372091179306934,-0.046794782663999376,-0.22578545495070462,0.13219588962270584,1
pro_dancer,Britt Stewart,-0.024746447241205984,-0.0903755508514679,0.04088265636905592,-0.05151309082468166,-0.11723544465666066,0.014209263007297336,-0.026766643583475677,-0.11964617326522169,0.06611288609827033,1
pro_dancer,Charlotte Jorgensen,0.2288089305552166,0.08390734086029472,0.37371052025013846,0.21423402660368182,0.04927646795147403,0.3791915852558896,-0.014574903951534768,-0.23413689258484094,0.2049870846817714,1
pro_dancer,Chelsie Hightower,0.013738138731751247,-0.04887146140807785,0.07634773887158033,0.00271501452539027,-0.018421380163214048,0.02385140921399459,-0.011023124206360977,-0.07710420478243621,0.05505795636971425,1
pro_dancer,Cheryl Burke,0.048086423073963616,0.0016925982950007287,0.0944802478529265,0.025710504922444987,0.006952793866564472,0.0444682159783255,-0.02237591815151863,-0.07241828721691174,0.027666450913874475,1
pro_dancer,Corky Ballas,0.10759872723552198,0.003961777008148454,0.2112356774628955,0.03342650752289918,0.002238333760214456,0.06461468128558391,-0.0741722197126228,-0.18240031049816016,0.03405587107291455,1
pro_dancer,Damian Whitewood,0.05978424158031088,-0.06906151821825571,0.18863000137887745,0.03132672914102696,-0.012813121040821884,0.0754665793228758,-0.02845751243928392,-0.16465426787841314,0.10773924299984529,1
pro_dancer,Daniella Karagach,-0.04826689875871594,-0.10668728253934012,0.010153485021908236,0.278926324799658,0.22018870103456473,0.3376639485647513,0.32719322355837394,0.2443496982432048,0.4100367488735431,0
pro_dancer,Daniella Karagach (Rumer Willis week 9),-0.037962789799909816,-0.1452833592179365,0.06935777961811686,0.26508434220355664,0.12344770551160639,0.4067209788955069,0.30304713200346645,0.12534332936093157,0.4807509346460013,0
pro_dancer,Derek Hough,0.04765456252039536,-0.00010254025459089516,0.09541166529538161,0.0516843977393698,0.030852570658616397,0.07251622482012321,0.004029835218974438,-0.048073004290816304,0.05613267472876518,1
pro_dancer,Dmitry Chaplin,0.02612520339827556,-0.05554891366952468,0.10779932046607581,0.007735764792911798,-0.018374704323695503,0.0338462339095191,-0.018389438605363764,-0.10413568048390934,0.0673568032731818,1
pro_dancer,Edyta Sliwinska,0.013218621991655905,-0.04666839863005094,0.07310564261336275,-0.00696152825898932,-0.02660355005324456,0.01268049353526592,-0.020180150250645224,-0.08320605174448138,0.04284575124319094,0
pro_dancer,Elena Grinenko,0.0055319465038126455,-0.12317907538014197,0.13424296838776725,-0.04098287834244021,-0.07207816047530488,-0.009887596209575533,-0.046514824846252856,-0.17892873546494237,0.08589908577243666,0
pro_dancer,Emma Slater,0.026789481177667565,-0.02169569153553895,0.07527465389087408,-0.006391471582216633,-0.02450709115303709,0.011724147988603828,-0.0331809527598842,-0.08493989059156848,0.018577985071800092,0
pro_dancer,Emma Slater/Kaitlyn Bristowe (week 9),-0.42485716399314516,-0.5400681234463443,-0.30964620453994607,0.3829928780682785,0.23786388769117006,0.5281218684453869,0.8078500420614236,0.6225503145224833,0.9931497696003639,0
pro_dancer,Ezra Sosa,-0.2568804486888815,-0.46552123131871437,-0.04823966605904864,-0.10463473783448499,-0.3168189972575669,0.10754952158859693,0.1522457108543965,-0.14533307891952355,0.4498245006283166,1
